number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_max_epochs,params_max_pct_mito,params_min_cells,params_min_genes,params_n_hidden,params_n_latent,params_n_layers,params_n_top_genes,params_norm_method,state
109,0.01,2025-05-05 19:24:48.022053,2025-05-05 19:24:49.302405,0 days 00:00:01.280352,,,,0.15000000000000002,10,200,,30.0,2.0,2000,sctransform,COMPLETE
110,0.01,2025-05-05 19:24:49.309308,2025-05-05 19:24:50.568233,0 days 00:00:01.258925,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
111,0.01,2025-05-05 19:24:50.575230,2025-05-05 19:25:39.164960,0 days 00:00:48.589730,,,,0.15000000000000002,10,300,,20.0,2.0,4000,sctransform,COMPLETE
112,0.01,2025-05-05 19:25:39.171285,2025-05-05 19:26:32.908740,0 days 00:00:53.737455,,,,0.1,3,200,,30.0,2.0,3000,sctransform,COMPLETE
113,0.01,2025-05-05 19:26:32.917679,2025-05-05 19:26:32.997385,0 days 00:00:00.079706,,,,0.05,3,1000,,10.0,1.0,2000,total,COMPLETE
114,0.01,2025-05-05 19:26:33.004181,2025-05-05 19:27:34.260712,0 days 00:01:01.256531,,,,0.25,10,300,,20.0,2.0,1000,sctransform,COMPLETE
115,0.01,2025-05-05 19:27:34.266747,2025-05-05 19:28:25.686437,0 days 00:00:51.419690,,,,0.2,3,500,,10.0,1.0,3000,sctransform,COMPLETE
116,0.01,2025-05-05 19:28:25.693385,2025-05-05 19:28:25.726842,0 days 00:00:00.033457,,,,0.15000000000000002,3,300,,30.0,1.0,3000,total,COMPLETE
117,0.01,2025-05-05 19:28:25.733257,2025-05-05 19:28:25.766505,0 days 00:00:00.033248,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
118,0.01,2025-05-05 19:28:25.772631,2025-05-05 19:28:25.805913,0 days 00:00:00.033282,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
119,0.01,2025-05-05 19:28:25.812029,2025-05-05 19:28:25.853096,0 days 00:00:00.041067,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
120,0.01,2025-05-05 19:28:25.861963,2025-05-05 19:28:25.904055,0 days 00:00:00.042092,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
121,0.01,2025-05-05 19:28:25.910040,2025-05-05 19:28:42.148937,0 days 00:00:16.238897,,,,0.2,10,1000,,20.0,2.0,4000,sctransform,COMPLETE
122,0.01,2025-05-05 19:28:42.171902,2025-05-05 19:28:43.330529,0 days 00:00:01.158627,,,,0.1,3,300,,10.0,1.0,1000,sctransform,COMPLETE
123,0.01,2025-05-05 19:28:43.336421,2025-05-05 19:28:43.391394,0 days 00:00:00.054973,,,,0.15000000000000002,3,1000,,30.0,2.0,2000,total,COMPLETE
124,0.01,2025-05-05 19:28:43.397176,2025-05-05 19:29:35.835446,0 days 00:00:52.438270,,,,0.1,10,300,,20.0,1.0,3000,sctransform,COMPLETE
125,0.01,2025-05-05 19:29:35.841408,2025-05-05 19:30:18.466867,0 days 00:00:42.625459,,,,0.2,3,500,,10.0,1.0,2000,sctransform,COMPLETE
126,0.01,2025-05-05 19:30:18.473716,2025-05-05 19:30:18.511736,0 days 00:00:00.038020,,,,0.2,3,200,,30.0,2.0,3000,total,COMPLETE
127,0.01,2025-05-05 19:30:18.517946,2025-05-05 19:30:19.820523,0 days 00:00:01.302577,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
128,0.01,2025-05-05 19:30:19.827171,2025-05-05 19:30:21.152941,0 days 00:00:01.325770,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
129,0.01,2025-05-05 19:30:21.160057,2025-05-05 19:30:22.434792,0 days 00:00:01.274735,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
130,0.01,2025-05-05 19:30:22.441308,2025-05-05 19:30:23.493099,0 days 00:00:01.051791,,,,0.25,10,300,,30.0,2.0,1000,sctransform,COMPLETE
131,0.01,2025-05-05 19:30:23.499199,2025-05-05 19:30:38.600527,0 days 00:00:15.101328,,,,0.1,10,1000,,10.0,1.0,2000,sctransform,COMPLETE
132,0.01,2025-05-05 19:30:38.639535,2025-05-05 19:30:38.855262,0 days 00:00:00.215727,,,,0.2,3,200,,30.0,2.0,4000,total,COMPLETE
133,0.01,2025-05-05 19:30:38.861209,2025-05-05 19:31:26.251843,0 days 00:00:47.390634,,,,0.25,3,300,,20.0,1.0,3000,sctransform,COMPLETE
134,0.01,2025-05-05 19:31:26.257762,2025-05-05 19:32:08.952871,0 days 00:00:42.695109,,,,0.15000000000000002,10,500,,10.0,1.0,2000,sctransform,COMPLETE
135,0.01,2025-05-05 19:32:08.970060,2025-05-05 19:32:09.078746,0 days 00:00:00.108686,,,,0.2,3,1000,,30.0,1.0,3000,total,COMPLETE
136,0.01,2025-05-05 19:32:09.086109,2025-05-05 19:33:06.093684,0 days 00:00:57.007575,,,,0.05,10,300,,10.0,2.0,1000,sctransform,COMPLETE
137,0.01,2025-05-05 19:33:06.099743,2025-05-05 19:33:06.132787,0 days 00:00:00.033044,,,,0.2,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
138,0.01,2025-05-05 19:33:06.138797,2025-05-05 19:33:06.176480,0 days 00:00:00.037683,,,,0.2,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
139,0.01,2025-05-05 19:33:06.185107,2025-05-05 19:33:06.229527,0 days 00:00:00.044420,,,,0.2,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
140,0.01,2025-05-05 19:33:06.235503,2025-05-05 19:33:06.268964,0 days 00:00:00.033461,,,,0.2,10,1000,,20.0,2.0,2000,sctransform,COMPLETE
141,0.01,2025-05-05 19:33:06.274843,2025-05-05 19:33:06.324915,0 days 00:00:00.050072,,,,0.15000000000000002,3,1000,,20.0,1.0,3000,sctransform,COMPLETE
142,0.01,2025-05-05 19:33:06.332529,2025-05-05 19:33:06.471149,0 days 00:00:00.138620,,,,0.2,3,300,,20.0,2.0,2000,total,COMPLETE
143,0.01,2025-05-05 19:33:06.477531,2025-05-05 19:34:02.351189,0 days 00:00:55.873658,,,,0.1,10,500,,10.0,1.0,4000,sctransform,COMPLETE
144,0.01,2025-05-05 19:34:02.364506,2025-05-05 19:34:02.528286,0 days 00:00:00.163780,,,,0.25,3,200,,30.0,1.0,3000,total,COMPLETE
145,0.01,2025-05-05 19:34:02.542788,2025-05-05 19:35:00.945049,0 days 00:00:58.402261,,,,0.1,10,300,,10.0,2.0,1000,sctransform,COMPLETE
146,0.01,2025-05-05 19:35:00.951110,2025-05-05 19:35:00.983824,0 days 00:00:00.032714,,,,0.15000000000000002,3,1000,,30.0,1.0,2000,sctransform,COMPLETE
147,0.01,2025-05-05 19:35:00.990638,2025-05-05 19:35:02.065333,0 days 00:00:01.074695,,,,0.15000000000000002,10,300,,20.0,2.0,2000,sctransform,COMPLETE
148,0.01,2025-05-05 19:35:02.071479,2025-05-05 19:35:03.169852,0 days 00:00:01.098373,,,,0.15000000000000002,10,300,,20.0,2.0,2000,sctransform,COMPLETE
149,0.01,2025-05-05 19:35:03.176139,2025-05-05 19:35:04.341770,0 days 00:00:01.165631,,,,0.15000000000000002,10,300,,20.0,2.0,2000,sctransform,COMPLETE
150,0.01,2025-05-05 19:35:04.347955,2025-05-05 19:35:05.428522,0 days 00:00:01.080567,,,,0.15000000000000002,10,300,,20.0,2.0,2000,sctransform,COMPLETE
151,0.01,2025-05-05 19:35:05.434819,2025-05-05 19:35:06.526351,0 days 00:00:01.091532,,,,0.2,3,300,,20.0,2.0,3000,sctransform,COMPLETE
152,0.01,2025-05-05 19:35:06.532526,2025-05-05 19:35:06.644181,0 days 00:00:00.111655,,,,0.2,10,500,,20.0,1.0,2000,total,COMPLETE
153,0.01,2025-05-05 19:35:06.650716,2025-05-05 19:35:06.687215,0 days 00:00:00.036499,,,,0.15000000000000002,3,1000,,10.0,2.0,3000,sctransform,COMPLETE
154,0.01,2025-05-05 19:35:06.693489,2025-05-05 19:35:07.788704,0 days 00:00:01.095215,,,,0.1,10,300,,30.0,1.0,1000,sctransform,COMPLETE
155,0.01,2025-05-05 19:35:07.794694,2025-05-05 19:35:07.910502,0 days 00:00:00.115808,,,,0.15000000000000002,3,200,,20.0,2.0,2000,total,COMPLETE
